Allanson	B.	Rhodes University	Grahamstown	South Africa
Baeyens	W.F.	Vrije Universiteir te Brussel	Bruxelles	Belgium
Bah	A.	Départament de Biologie, Université Laval	Quebec	Canada
Billen	G.	Laboratoire de Chimie Industriale, Université Libre de Bruxelles	Bruxelles	Belgium
Boukary	S.	University of Niamey	Niamey	Niger
Bouquegneau	J.M.	Laboratoire d'Océanologie, Université de Liège	Liège	Belgium
Brant	A.	Applied Physics Laboratory, The Johns Hopkins University	Baltimore, Maryland	U.S.A.
Brundrit	G.B.	Departament of Oceanography, University of Cape Town	Cape Town	South Africa
Butman	C.A.	Ocean Ingenieering Departament, Woods Hole Oceanographic Institution	Woods Hole	U.S.A.
Carey	D.A.	Departament of Earth and Environmental Sciences, Wesleyan University	Middletown, Connecticut	U.S.A.
Carter	R.A.	National Research Institute of Oceanology		South Africa
Chabert d'Hières	G.	Institut de Mécanique de Grenoble	Grenoble	France
Clement	F.	GeoHydrodynamics and Environment Research (GHER),Université de Liège	Liège	Belgium
Coachman	L.K.	School of Oceanography, Universty of Washington	Seattle, Washington	U.S.A.
Czitron	S. 	Instituto de Ciencias del Mar y Limnología	Cuidad de México	México
Deleersnijder	E.	GeoHydrodynamics and Environment Research (GHER),Université de Liège	Liège	Belgium
Demers	S.	Centre Champlain des Sciences de la Mer		Canada
Denman	K.L.	Institute of Ocean Sciences	Sidney, Vancouver	Canada
Diebel-Langohr	D. 	University of Oldenburg	Oldenburg	Germany
Dieterle	D.	Departament of Marien Sciences, University of South Florida	Tampa, Florida	U.S.A.
Disteche	A.	Laboratoire d'Océanologie, Université de Liège	Liège	Belgium
Djenidi	S.	GeoHydrodynamics and Environment Research (GHER),Université de Liège	Liège	Belgium
Dupouy	C.	Antenne ORSTOM, Centre de Météorologie Spatiale	 	France
Estrada	M.	Instituto de Investigaciones pesqueras	Barcelona	Spain
Everbecq	E.	GeoHydrodynamics and Environment Research (GHER),Université de Liège	Liège	Belgium
Flebus	C. 	GeoHydrodynamics and Environment Research (GHER),Université de Liège	Liège	Belgium
Fortin	M.J.	Université de Montreal	Montreal	Canada
Frankignoulle	M.	Laboratoire d'Océanologie, Université de Liège	Liège	Belgium
Gallardo	Y.	Antenne ORSTOM, IFREMER	Brest	France
Glas	P.	Delft Hydraulics Laboratory	Delft	The Netherlands
Godeaux	J. 	Institut de Zoologie, Université de Liège	Liège	Belgium
Gunther	K. 	University of Oldenburg	Oldenburg	Germany
Happel	J.J.	GeoHydrodynamics and Environment Research (GHER),Université de Liège	Liège	Belgium
Harris	G.P.	CSIRO Fisheries Research, Marine Laboratories	Hobbart	Tasmania
Hecq	J.H.	GeoHydrodynamics and Environment Research (GHER),Université de Liège	Liège	Belgium
Heip	C.	Marine Biology Section, Zoology Institute, University of Gent	Gent	Belgium
Herman	P.	Marine Biology Section, Zoology Institute, University of Gent	Gent	Belgium
Huerta	M.A.	Consejo Nacional de Ciencia y Tecnología (CONACYT)	Cuidad de México	México
Hutchings	L. 	Sea Fisheries Research Institute	Cape Town	South Africa
Ingram	R.G.	Departament of Oceanography, McGill University 	Montreal	Canada
Jamart	B.M.	Unité de Gestión du Mòdele Mathémathique Mer du Nord et Estuaire de l'Escaut (UGMM), Institut de Mathémathique	Bruxelles	Belgium
