Adam	Y.	Université de Liège	Liège	Belgium
Allen	G.	Centre Océanologique de Bretagne	Brest	France
Bah	A.	Université de Liège	Liège	Belgium
Bayens	W.	Secrétariat d'Etat à l'Environement	Bruxelles	Belgium
Belhomme	G.	Université de Liège	Liège	Belgium
Berquin	A.	Mission d'Aménagement de Basse Normandie	Caen	France
Billen	G.	Vrije Universiteit Brussel	Bruxelles	Belgium
Bonnefille	R.	Electricité de France	Chatou	France
Bowman	M.J.	State University of New York at Stony Brook	New York	U.S.A.
Cannon	G.A.	PMEL/NOAA	Seattle	U.S.A.
Chabert d'Hières	G.	Institut de Mécanique	Grenoble	France
Chatwin	P.C.	University of Liverpool	Liverpool	U.K.
Crean	P.B.	University of British Columbia	Vancouver	Canada
Dempster	D.K.	Water Research Center	Herts	U.K.
Disteche	A.	Université de Liège	Liège	Belgium
Dronkers	J.	Rijkswaterstaat	Rijswijk	The Netherlands
Dyer	K.R.	Institute of Oceanographic Sciences	Taunton	U.K.
Elliott	A.J.	NATO ASW Research Center 	La Spezia	Italy
Farmer	D.M.	Institute of Ocean Sciences	Victoria	Canada
Gade	H.G.	Geophysical Institute	Bergen	Norway
Gallardo	Y.	Ant. ORSTOM Centre Océanologique de Bretagne	Brest	France
Gramende	R.F.	ELSEVIER Scientific Publishing Company	Amsterdam	The Netherlands
Hecq	P.	Université de Liège	Liège	Belgium
Helle	H.B.	University of Bergen	Bergen	Belgium
Hodgins	D.O.	River and Harbour Lab.	Trondheim	Norway
Hyacinthe	J.L.	CNEXO	Paris	France
Ingram	R.G.	Mc Gill University	Montreal	Canada
Jamart	B.	University of Washington	Seattle	U.S.A.
Karelse	M.	Delft Hydraulics Laboratory	Delft	The Netherlands
Langerak	A.	Delft Hydraulics Laboratory	Delft	The Netherlands
Lebon	G.	University of Liège	Liège	Belgium
Leendertse	J.J.	RAND Corp.	Santa Monica	U.S.A.
Le Provost	C.	Institut de Mécanique	Grenoble	France
Liu	D.	RAND Corp.	Santa Monica	U.S.A.
Loffet	A.	Université de Liège	Liège	Belgium
Mathiesen	J.P.	River and Harbour Lab.	Trondheim	Norway
Michel	D.	Université de Liège	Liège	Belgium
Muir	L.R.	Oceanic and Aquatic Sciences	Burlington	Canada
Nihoul	J.C.J.	Université de Liège	Liège	Belgium
O’Kane	J.P.	University College	Dublin	Ireland
Pedersen	F.B.	Technical University of Denmark	Lyngby 	Denmark
Perrels	P.A.	Delft Hydraulics Laboratory	Delft	The Netherlands
Peters	J.J.	Waterbouwkundig Laboratorium	Borgerhout	Belgium
Pichot	G.	Secrétariat d'Etat à l'Environement	Bruxelles	Belgium
Prandle	D.	Institute of Oceanographic Sciences	Birkenhead	U.K.
Ramming	H.G.	University of Hamburg	Hamburg	Germany
Reichard	R.P.	University of New Hampshire	Durham	U.S.A.
Ronday	F.C.	Université de Liège	Liège	Belgium
Rufola	Y.	Université de Liège	Liège	Belgium
Salomon	J.C.	Laboratoire d’Océanographie Physique	Brest	France
van Schieveen	H.M.	Rijkswaterstaat	Rijswijk	The Netherlands
Smith	J.D.	University of Washington	Seattle	U.S.A.
Smith	N.P.	University of Texas	Port Aransas	U.S.A.
Smith	R.	University of Cambridge	DAMPT	U.K.
Smitz	J.	Université de Liège	Liège	Belgium
Stronach	J.	University of British Columbia	Vancouver	Canada
Sullivan	P.J.	University of Western Ontario	?	Canada
Svendsen	H.	University of Bergen	Bergen	Norway
Tucker	M.J.	Institute of Oceanographic Sciences	Taunton	U.K.
Ulanowicz	R.E.	University of Mariland	Solomons	U.S.A.
Uncles	R.J.	Institute for Marine Environment Research	Plymouth	U.K.
Voogt	J.	Rijkswaterstaat	Rijswijk	The Netherlands
Winter 	D.F.	University of Washington	Seattle	U.S.A.
Zimmerman	J.T.F.	NIOZ	Texel	The Netherlands
