Adam	Y.	Université de Liège	Liège	Belgium
Armi	L.	Woods Hole Oceanographic Institution	Woods Hole	U.S.A.
Bah	A.	Université de Liège	Liège	Belgium
Bowman	J.	State University of New York, Stony brook	New York	U.S.A.
Chabert d'Hières	G.	Université Scientifique et Médicale de Grenoble	St. Martin d'Heres	France
Cook	G.S.	Naval Underwater System Center	Newport	U.S.A.
Criminale	W.O.	University of Washington	Seattle	U.S.A.
Davis	A.M.	Bidston Observatory	Birkenhead	U.K.
Disteche	A.	Université de Liège	Liège	Belgium
Edwards	A.	Scottish Marine Biological Association	Oban	U.K.
Flood	R.D.	Woods Hole Oceanographic Institution	Woods Hole	U.S.A.
Font	J.	Instituto de Investigaciones pesqueras	Barcelona	Spain
Frankignoul	C.J.	Max-Planck Institut für Meteorologie	Hamburg	Germany
Gordon	C.M.	Naval Research Laboratory	Washington	U.S.A.
Kundu	P.K.	Oregon State University	Corvallis	U.S.A.
Laval	H.	Université de Liège	Liège	Belgium
Lebon	G.	Université de Liège	Liège	Belgium
Le Provost	C.	Centre National de la Recherche Scientifique	Grenoble	France
Loffet	A. 	Université de Liège	Liège	Belgium
Madelain	F.	Centre Océanologique de Bretagne	Brest	France
Nihoul	J.C.J.	Université de Liège	Liège	Belgium
Peters	J.J.	Waterbouwkundig Laboratorium	Borgerhout	Belgium
Pichot	G.	Université de Liège	Liège	Belgium
Pringree	R.D.	Plymouth Marine Laboratory	Plymouth	U.K.
Ramming	H.G.	University of Hamburg	Hamburg	Germany
Riepma	H.W.	Koninklijk Nederlands Meteorologisch Instituut	De Bilt	The Netherlands
Rodhe	J.	University of Gothenburg	Gothenburg	Sweden
Ronday	F.	Université de Liège	Liège	Belgium
Runfola	Y.	Université de Liège	Liège	Belgium
Salat	U.J.	Instituto de Investigaciones pesqueras	Barcelona	Spain
Sarmiento	J.L.	Columbia University	Palisades	U.S.A.
Smith	J.	University of Washington	Seattle	U.S.A.
Smitz	J.	Université de Liège	Liège	Belgium
Soulsby 	R.L.	Institute of Oceanographic Siences	Tauton 	U.K.
Tochko	J.S.	Woods Hole Oceanographic Institution	Woods Hole	U.S.A.
Vanderborght	J.-P.	Université Libre de Bruxelles	Bruxelles	Belgium
Weatherly	G.L.	Florida State University	Tallahassee	U.S.A.
Williams	R.	NATO Saclant Research Center 	La Spezia	Italy
Williams 3rd	A.J.	Woods Hole Oceanographic Institution	Woods Hole	U.S.A.
Wimbusch	M.	Nova University	Dania	U.S.A.
Wollast	R.	Université Libre de Bruxelles	Bruxelles	Belgium
