Adam	Y.	Management Unit of the Mathematical Model (MUMM)	Liège	Belgium
Airaudo	J.L.	Météorologie Nationale	Paris	France
Backhaus	J.O.	Universität Hamburg	Hamburg	Germany
Bah.	A.	Université de Laval	Québec	Canada
Beckmann	A.	Universität Kiel	Kiel	Germany
Beckers	J.-M.	Université de Liège	Liège	Belgium
Bode	L.	James Cook University of North Queensland	Townsville	Australia
Boehlich	M.J.	Universität Hamburg	Hamburg	Germany
Boudra	D.B.	Rosenstiel School of Marine and Atmospheric Sciences	Miami	U.S.A.
Chartier	M.	Institut de Protection et de Sûreté Nucléaire, CEA	Fontenay-aux-roses	France
Chassignet	E.	Rosenstiel School of Marine and Atmospheric Sciences	Miami	U.S.A.
Clement	F.	Université de Liège	Liège	Belgium
Comeliau	B.	Université de Liège	Liège	Belgium
Dahl	F.E.	Det Norske Veritas	Hovik	Norway
Davies	A.M.	Institute of Oceanographic Sciences	Birkenhead	U.K.
Delecluse	P.	Museum National d’Histoire Naturelle	Paris	France
Dejak	C.	Enternazionale Energie Alternative, ENEA	Roma	Italy
Deleersnijder	E.	Université de Liège	Liège	Belgium
Demuth	C.	Management Unit of the Mathematical Model (MUMM)	Liège	Belgium
Desaubies	Y.	IFREMER	Brest	France
Dingman	J.S.	The Ohio State University	Colombus	U.S.A.
Dippner	J.W.	Universität Hamburg	Hamburg	Germany
Distèche	A.	Université de Liège	Liège	Belgium
Djenedi	S.	Université de Liège	Liège	Belgium
Donnars	P.	Laboratoire National d’Hydraulique	Chatou	France
Dyke	P.P.G.	Plymouth Polytechnic	Plymouth	U.K.
Eifler	W.	Commission of the European Communities	Ispra	Italy
Elliott	A.J.	University College of North Wales	Menai Bridge	U.K.
Frandry	C.	CSIRO	Hobard	Australia
Feng	S.	Shandong College of Oceanology	Shandong	China
Flebus	C.	Université de Liège	Liège	Belgium
Frankignoul	C.	Université Pierre et Marie Curie	Paris	France
Goffart	A.	Université de Liège	Liège	Belgium
Goffart	P.	Université de Liège	Liège	Belgium
Gopalakrishnan	T.C.	Kuweit Institute for Scientific Research	Safat	Kuwait
Gunst	D.R.R.	Ministerie van Openbare Werken	Oostende	Belgium
Hainbucher	D.	Universität Hamburg	Hamburg	Germany
Halmes	F.	Université de Liège	Liège	Belgium
Happel	J.J.	Université de Liège	Liège	Belgium
Hecq	J.H.	Université de Liège	Liège	Belgium
Hires	R.I.	Stevens Institute of Technology	Hoboken	U.S.A.
Holland	W.R.	National Center for Atmospheric Research	Boulder	U.S.A.
Hua	B.L.	IFREMER	Brest	Belgium
Huizinga	P.	NRIO-CSIR	Stellenbosch	South Africa
Jamart	B.M.	Management Unit of the Mathematical Model (MUMM)	Liège	Belgium
James	I.D.	Institute of Oceanographic Sciences	Birkenhead	U.K.
Karafistan-Denis	A.	Université de Liège	Liège	Belgium
Krohn	J.	GKSS Research Center	Geesthacht	Germany
Laime	A.F.	Université de Liège	Liège	Belgium
Lebon	G.	Université de Liège	Liège	Belgium
Lefraivre	D.	Centre Champlain des Sciences de la Mer	Québec	Canada
Legutke	S.	Universität Hamburg	Hamburg	Germany
Li	L.	State Oceanic Administration	Dalian City	China
Lohrmann	A.	Det Norske Veritas	Hovik	Norway
Lynn	N.M.	Royal Naval College	London	U.K.
Martel	F.	Université Pierre et Marie Curie	Paris	France
Millet	B.	ORSTOM	Montpellier	France
Monreal	A.	CONACYT	Mexico	Mexico
Mouchet	A.	Université de Liège	Liège	Belgium
Neves	R.	CTAMFUTL	Lisboa	Portugal
Nihoul	J.C.J.	Université de Liège	Liège	Belgium
Ozer	J.	Management Unit of the Mathematical Model (MUMM)	Liège	Belgium
Pecenik	G.	MONTEDIPE SpA	Venezia	Italy
Pechon	P.	Laboratoire National d’Hydraulique	Chatou	France
Pedersen	G.K.	University of Oslo	Oslo	Norway
Pichot 	G.	Unité de Gestion modèle mathématique Mer du Nord et Estuaire de l’Escaut	Bruxelles	Belgium
Pohlmann	T.	Universität Hamburg	Hamburg	Germany
Pontrelli	G.	IRAM-CNR	Bari	Italy
Postma	L.	Delft Hydraulic Laboratory	Delft	The Netherlands
Provost	C.	Université Pierre et Marie Curie	Paris	France
Randles	J.	Commission of the European Communities	Ispra	Italy
Robert	J.L.	Université de Laval	Québec	Canada
Robinson	A.	Harvard Université	Cambridge	U.S.A.
Rockliff	N.J.	Plymouth Polytechnic	Plymouth	U.K.
Rodriguez	I.	Direction Générale des Côtes	Madrid	Spain
Roed	L.P.	Det Norske Veritas	Hovik	Norway
Roisin	M.	Université de Liège	Liège	Belgium
Ronday	F.C.	Université de Liège	Liège	Belgium
Rygg	O.B.	University of Oslo	Oslo	Norway
Salas de Leon	D.	CONACYT	Mexico	Mexico
Salomon	J.C.	IFREMER	Brest	France
Salusti	S.E.	Università la Sapienza	Roma	Italy
Sheng	Y.	Aeronautical Research Associate of Princeton	Princeton	U.S.A.
Smetz	E.	Waterbouwkundig Laboratorium	Borgerhout	Belgium
Smitz	J.	Université de Liège	Liège	Belgium
Snykers	P.	Université de Liège	Liège	Belgium
Soulaimani	A.	Université de Technologie	Compiègne	France
Spaulding	M.L.	Applied Science Associates, Inc.	Narragansett	U.S.A.
Spitz	Y.	Management Unit of the Mathematical Model (MUMM)	Liège	Belgium
Stanley	P.	Marine Science Laboratories	Menai Bridge	U.K.
Steedman	R.K.	Steedman Limited	Subiaco	Australia
Tee	K.T.	Bedford Institute of Oceanography	Dartmouth	Canada
Treglos	Y.	UNESCO	Paris	France
Usseglio-Polatera	J.M.	SOGREAH	Grenoble	France
Valcke	A.	Université de Liège	Liège	Belgium
Williams	J.	Branch Office of Naval research	London	U.K.
Wolf	J.	Institute of Oceanographic Sciences	Birkenhead	U.K.
