Ary	S.	University of Niamey	Niamey	Niger
Bah	A.	Ecole Polytechnique de Conakry	Conakry	Guinea
Boukary	S.	University of Niamey	Niamey	Niger
Boyd	J.P.	Space Research Building	Ann Arbor, Mi.	U.S.A.
Busalacchi	A.J.	Florida State University	Tallahassee	U.S.A.
Casas-Vasquez	J.	Universidad Autonoma de Barcelona	Barcelona	Spain
Delafosse	G.	EPSHOM	Brest	France
Delecluse	P.	Museum National d'Histoire Naturelle	Paris	France
Disteche	A.	Université de Liège	Liège	Belgium
Djenidi	S.	rue BP Cité Plaisance	Annaba	Algeria
Eriksen	C.	Massachussets Institute of Technology	Cambridge	U.S.A.
Fashbach	E.	Institut für Meereskunde and der Universität Kiel	Kiel	Germany
Fine	R.A.	National Science Foundation	Washington, D.C.	U.S.A.
Frankignoul	C.J.	Université Paris VI, Laboratoire de Physique et Chimie Marines	Paris	France
Gaspar	P.	Université de Louvain	Louvain la Leuve	Belgium
Gibson	C.H.	University of California San Diego	La Jolla, Ca.	U.S.A.
Gonella	J.A.	Museum National d'Histoire Naturelle	Paris	France
Halpern	D.	Pacific Marine Environmental Laboratory	Seattle	U.S.A.
Henrotay	P.	Université de Liège	Liège	Belgium
Hisard	P.	Antenne ORSTOM, Centre Océanologique de Bretagne	Brest	France
Kindle	J.C.	Naval Ocean Research & Development Activity	NSTL Station, Ms.	U.S.A.
Kraus	E.B.	Cooperative Institute for Research in Environmental Sciences, University of Colorado at Boulder	Boulder	U.S.A.
Lass	H.-U.	Institut für Meereskunde	Rostock-Wärnemunde	Germany
Lebon	G.	Université de Liège	Liège	Belgium
Levy	C.	Museum National d'Histoire Naturelle	Paris	France
Mc Phaden	M.J.	JISAO, University of Washington	Seattle, Wa.	U.S.A.
Merle	J.	Museum National d'Histoire Naturelle	Paris	France
Monreal	M.A.	Centro de Investigación Científica y de Educación Superior	Ensenada, B.C.	Mexico
Molinari	R.L.	NOAA/AOML/PhOL	Miami, Fla.	U.S.A.
Moore	D.W.	JIMAR, University of Hawaii at Manoa	Honolulu, Hawaii	U.S.A.
Ngendakumana	P.	Bujumbura	Bujumbura	Republic of Burundi
Nihoul	J.C.J.	Université de Liège	Liège	Belgium
Olbers	D.	Max-Planck-Institut für Meteorologie	Hamburg	Germany
Panitz	H.-J.	Institut für Geophysik und Meteorologie, Universität Köln	Köln	Germany
Du Penhoat	Y.	Antenne ORSTOM, Centre Océanologique de Bretagne	Brest	France
Picaut	J.	Laboratoire d'Océanographie Physique, Faculté des Sciences	Brest	France
Reverdin	G.	Museum National d'Histoire Naturelle	Paris	France
Ripa	P.	Centro de Investigación Científica y de Educación Superior	Ensenada, B.C.	Mexico
Ronday	F.	Université de Liège	Liège	Belgium
Rowe	M.A.	Department of Oceanography, University of Southampton	Southampton	U.K.
Rual	P.	Antenne ORSTOM, Centre Océanologique de Bretagne	Brest	France
Salas de Leon	D.A.	Centro de Investigación Científica y de Educación Superior	Ensenada, B.C.	Mexico
Sarachik	E.S.	Center for Earth and Planetary Physics, Harvard University	Cambridge, Mass.	U.S.A.
Servain	J.	Laboratoire d'Océanographie Physique, Faculté des Sciences	Brest	France
Smitz	J.	Université de Liège	Liège	Belgium
Trannoy	P.	Ecole Polytechnique	Palaiseau	France
Treguier	A.-M.	Ecole Polytechnique	Palaiseau	France
