Aitsam	A.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Alenius	P.	Institute of Marine Research	Helsinki	Finland
Ambrosius	V.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Badan-Dangon	A.	Centro de Investigación Científica y de Educación Superior	Ensenada, B.C.	Mexico
Bah	A.	Ecole Polytechnique de Conakry	Conakry	Guinea
Bargamasco	A.	CNR	Venice	Italy
Bethoux	J.P.	Laboratoire de Physique et Chimie Marines 	Villefranche sur Mer	France
Boukari	S.	University of Niamey	Niamey	Niger
Bowman	M.J.	State University of New York at Stony Brook	New York	U.S.A.
Candela	J.P.	Centro de Investigación Científica y de Educación Superior	Ensenada, B.C.	Mexico
Clement	F.	Université de Liège	Liège	Belgium
Crepon	M.	Museum National d'Histoire Naturelle	Paris	France
Disteche	A.	Université de Liège	Liège	Belgium
Djenidi	S.	Cité Plaisance	Annaba	Algeria
Elken	J.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Frachon	B.	Museum National d'Histoire Naturelle, Laboratoire d'Océanographie Physique	Paris	France
Frasseto	R.	C.N.R.	Venice	Italy
Gascard	J.C.	Museum National d'Histoire Naturelle, Laboratoire d'Océanographie Physique	Paris	France
Happel	J.J.	Université de Liège	Liège	Belgium
Hecq	J.H.	Université de Liège	Liège	Belgium
Heburn	G.W.	Science Applications Inc.	Slidell, La.	U.S.A.
Howarth	M.J.	I.O.S. Bidston Observatory	Birkenhead	U.K.
Hua	B.L.	Museum National d'Histoire Naturelle, Laboratoire d'Océanographie Physique	Paris	France
Hulburt	H.E.	Naval Ocean Research and Development Activity?	NSTL Station, Ms.	U.S.A.
Jacobsen	T.	Marine Pollution Laboratory	Charlottenlund	Denmark
Jamart	B.M.	University of California	Santa Barbara	U.S.A.
Kahru	M.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Kaup	M.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Kraav	V.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Kullas	T.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Kullenberg	G.W.	University of Copenhagen	Copenhagen	Denmark
Kvasnovsky	G.	SACLANT ASW Research Center	La Spezia	Italy
Lacome	H.	Museum National d'Histoire Naturelle, Laboratoire d'Océanographie Physique	Paris	France
Lebon	G.	Université de Liège	Liège	Belgium
Lekien	B.	Université de Liège	Liège	Belgium
Lilover	M.J.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Loffet	A.	Université de Liège	Liège	Belgium
Lokk	J.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Manzella	G.	C.N.R. 	Lerici	Italy
Millot	C.	Museum National d'Histoire Naturelle, Laboratoire d'Océanographie Physique	Paris	France
Moen	J.	SACLANT ASW Research Center	La Spezia	Italy
Molines	J.M.	Institut de Mécanique de Grenoble	Grenoble	France
Myuurisepp	S.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Nadaillac de	G.	Museum National d'Histoire Naturelle, Laboratoire d'Océanographie Physique	Paris	France
Ngendakumana	P.	Bujumbura	Bujumbura	Republic of Burundi
Niehaus	M.C.W.	University of Liverpool, Department of Oceanography	Liverpool	U.K.
Nihoul	J.C.J.	Université de Liège	Liège	Belgium
Pedersen	F.B.	Technical University of Denmark, Institute of Hydrodynamics	Lyngby	Denmark
Philippe	M.	Centre de Météorologie Spatiale	Lannion	France
Poder	T.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Portsmuth	P.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Preller	R.	JAYCOR, Naval Ocean Research and Development Activity	NSTL Station, Ms.	U.S.A.
Renouard	D.	Institut de Mécanique de Grenoble	Grenoble	France
Richez	C.	Museum National d'Histoire Naturelle, Laboratoire d'Océanographie Physique	Paris	France
Ronday	F.	Université de Liège	Liège	Belgium
Runfola	Y.	Université de Liège	Liège	Belgium
Saint Guily	B.	Museum National d'Histoire Naturelle, Laboratoire d'Océanographie Physique	Paris	France
Schauer	U.	Institut für Meereskunde, Universität Kiel	Kiel	Germany
Smitz	J.	Université de Liège	Liège	Belgium
Tang	C.	Bedford Institute of Oceanography	Darthmouth, N.S.	Canada
Thomasset	F.	INRIA	Le Chesnay	France
Toompuu	A.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Vaulot	A.	Department of the Baltic Sea, Academy of Sciences Estonian SRR	Tallinn	Estonia
Wacongne	S.	Museum National d'Histoire Naturelle, Laboratoire d'Océanographie Physique	Paris	France
