Abbot 	M.B.	Delft University	Nederland	51.9988187	4.37392311388339	
Adam	Y.	Université de Liège	Belgium	50.64080705	5.57643469040658	
Barnett	A.G.	Delft University	Nederland	51.9988187	4.37392311388339	
Bay	D.	Université de Liège	Belgium	50.64080705	5.57643469040658	
Berger	A.L.	Université Catholique de Louvain	Belgium	50.6697934	4.61543	
Betz	M.	Université de Liège	Belgium	50.64080705	5.57643469040658	
Brouwer	E.	The Royal Netherlands Navy	Nederland	52.08158994892961	4.306549963356322	
Chabert d'Hières	G.	Université de Grenoble	France	45.2025742	5.70312368173045	
Chen	C.F.	Rutgers University	United States of America	40.4855746	-74.4319015	
Coantic	M.	Laboratoire de Luminy	France	43.234354	5.441547	
Cuvelier	C.	Delft University	Nederland	51.9988187	4.37392311388339	
De Haen	A.	Université de Liège	Belgium	50.64080705	5.57643469040658	
Disteche	A.	Université de Liège	Belgium	50.64080705	5.57643469040658	
Dorrestein	R.	Royal Nat. Met. Inst. of De Bilt	Nederland	52.10827000000006	5.1801300000000765	
Droissart	A.	Université de Liège	Belgium	50.64080705	5.57643469040658	
Edwards	A.	Scottish Marine Biological Association	U.K.	56.45131	-5.4411761	
Elliott	A.J.	The University of Liverpool	U.K.	53.406179	-2.96670818619252	
Frankignoul	C.J.	Université de Liège	Belgium	50.64080705	5.57643469040658	
Glansdorff	P.	Université Libre de Bruxelles	Belgium	50.8127449	4.3794563	
Gonela	J.	Laboratoire d'Océanographie Physique	France	48.8335842	2.3757659	
Hennenberg	M.	Université Libre de Bruxelles	Belgium	50.8127449	4.3794563	
Henry	R.F	Marine Science Branch, Department of the Environment	Canada	48.42855000000003	-123.36444999999998	
Hopfinger	E.	Université de Grenoble	France	45.2025742	5.70312368173045	
Houvenaghel	G.	Université Libre de Bruxelles	Belgium	50.8127449	4.3794563	
Huntley	D.A.	Bidston Observatory	U.K.	53.4006097	-3.0742335	
Hussels	W.	University of Kiel	Germany	54.33250755	10.180030518429	
