Adam	Y.	Université de Liège	Liège	Belgium
Bayens	W.	Vrije Universiteit Brussel	Bruxelles	Belgium
Bell	T.H.	Naval Research Laboratory	Washington	U.S.A.
Billen	G.	Vrije Universiteit Brussel	Bruxelles	Belgium
Bonnefille	R.	Electricité de France	Chatou	France
Bossicart	M.	Vrije Universiteit Brussel	Bruxelles	Belgium
Chabert d'Hières	G.	Université Scientifique et Médicale de Grenoble	Grenoble	France
Creegan	A.	University of East Anglia	Norwich	U.K.
Crepon	M.	Laboratoire d'Océanographie Physique	Paris	France
Delcourt	B.	Université de Liège	Liège	Belgium
Denman	K.L.	Bedfort Institute of Oceanography	Dartmouth	Canada
Disteche	A.	Université de Liège	Liège	Belgium
Dooley	H.	Marine Laboratory	Aberdeen	U.K.
Dorresteing	R.	Koninklijk Nederlands Meteorologisch Instituut	De Bilt	The Netherlands
Dubois	D.	Université de Liège	Liège	Belgium
Durance	J.A.	Fisheries Laboratory	Lowestoft	U.K.
Dyke	J.A.	Heriot-Watt University	Edimbourg	U.K.
Gargett	A.	Marine Science Branch	Victoria	Canada
Goodman	L.	Naval Underwater Systems Center	Newport	U.S.A.
Hamblin	P.F.	Canada Center for Inland Waters	Burlington	Canada
Heaps	N.	Institute of Oceanographic Sciences 	Birkenhead	U.K.
Hill	H.W.	Fisheries Laboratory	Lowestoft	U.K.
Hopkins	T.S.	Institute of Oceanographic and Fishing Research	Athens	Greece
Ingram	R.G.	Mc Gill University	Montreal	Canada
Johnson	J.A.	University of East Anglia	Norwich	U.K.
Keunecke	K.H	Forschungsanstalt der Bundeswehr für Wasserschall und Geophysik	Kiel	Germany
Lambermont	J.H.	Université de Liège	Liège	Belgium
Lambert	R.B.	University of Rhode Island	Kingston	U.S.A.
Lancelot	C.	Université Libre de Bruxelles	Bruxelles	Belgium
Lebon	G.	Université de Liège	Liège	Belgium
Lejeune	A.H.	Université de Liège	Liège	Belgium
Magaard	L.	University of Kiel	Kiel	Germany
Mamayev	O.	Intergovernmental Oceanographic Commission IOC-UNESCO	Paris	France
Molcard	R.	Saclant ASW Research Center	La Spezia	Italy
Mommaerts	J.P.	Vrije Universiteit Brussel	Bruxelles	Belgium
Nihoul	J.C.J.	Université de Liège	Liège	Belgium
Olbers	D.	University of Hamburg	Hamburg	Germany
Picard	H.	Université de Liège	Liège	Belgium
Pichot	G.	Université de Liège	Liège	Belgium
Platt	T.	Bedfort Institute of Oceanography	Dartmouth	Canada
Probst	B.	Institut für Meereskunde an der University of Kiel	Kiel	Germany
Radach	G.	University of Hamburg	Hamburg	Germany
Ronday	F.	Université de Liège	Liège	Belgium
Runfola	Y.	Université de Liège	Liège	Belgium
Saint-Guily	B.S.C.	Laboratoire d'Océanographie Physique	Paris	France
Shonting	D.H.	Naval Underwater Systems Center	Newport	U.S.A.
Sullivan	P.J.	University of Western Ontario	London	Canada
Van Hamme	J.L.	Institut Royal Météorologique	Bruxelles	Belgium
Willebrand	J.	Institut für Meereskunde an der University of Kiel	Kiel	Germany
Willenz	P.	Université Libre de Bruxelles	Bruxelles	Belgium
Woods	J.D.	University of Southampton	Southampton	U.K.
Zimmerman	J.T.F.	Nederlands Instituut voor Onderzoek der Zee	Texel	The Netherlands
