Ballester 	A.	Instituto de Investigaciones Pesqueras	Barcelona	Spain
Böhm	E.	Dipartamento di Fisica, Universita Roma	Roma	Italy
Boukary	S.	University of Niamey	Niamey	Niger
Carstens	T.	Norwegian Hydrodynamic Laboratories, River and Harbour Laboratory	Trondheim	Norway
Chabert d'Hières	G.	Université Scientifique et Médicale de Grenoble, Institut de Mecánique	Grenoble	France
Clement	F.	Mécanique des Fluides Géophysiques, Université de Liège	Liège	Belgium
Crépon	M.L.	Museum National d’Histoire Naturelle, Laboratoire d’Océanographie Physique	Paris	France
Daniels	J.W.	Departament of Oceanography, University of Southampton	Southampton	U.K.
Disteche	A.	Laboratoire d'Océanologie, Université de Liège	Liège	Belgium
Djenidi	S.	Mécanique des Fluides Géophysiques, Université de Liège	Liège	Belgium
Dupouy	C.	Laboratoire d'Opttique Atmosphérique, Université des Sciences et Techniques de Lille	Lille	France
Dyke	P.P.G.	Departament of Mathematics and Computer Studies, Sunderlands Polytechnic	Sunderlands  	U.K.
Gaspar	P.	Institut d'Astronomie et de Géophysique, Université Catholique de Louvain	Louvain-la-Neuve	Belgium
Gidhagen	L.	Swedish Meteorological and Hydrological Institute	Norrköping	Sweden
Gillot	R.H.	Commision of the European Communities, Joint Research Center	Ispra	Italy
Goffart	A.	Laboratorie de Biologie Marine, Université de Liège	Liège	Belgium
Gordon	C.M.	Naval Research Laboratory	Washington	U.S.A.
Gower	J.F.R.	Institute of Ocean Sciences	Sidney	Canada
Grilli	S.	Hydraulique Générale et Mécanique des Fluides Géophysiques, Université de Liège	Liège	Belgium
Grosjean	P.	Mécanique des Fluides Géophysiques, Université de Liège	Liège	Belgium
Hecq	J.H.	 Laboratorie de Biologie Marine, Université de Liège	Liège	Belgium
Jacobs	W.	Institute für Geophysik und Meteorologie der Universität Köln	Köln	Germany 
Lebon	G.	Thermodynamique des Phénomènes Irréversibles, Université de Liège	Liège	Belgium
Le Cann	B.	Laboratoire d'Océanographie Physique, Université de Bretagne Occidentale	Brest	France
Lin	S. 	The Second Institute of Oceanography	Hangzhou	China
Loffet	A.	Belfotop Eurosense	Wemmel	Belgium
Lygre	A.	Continental Shelf Institute	Trodheim	Norway
Maruyasu	T.	The Science University of Tokyo	Noda, Chiba	Japan
Massin	J.M.	Ministère de l'Environnement, Direcition de la Prévention des Pollutions	Neuilly	France
Monreal	A.	Consejo Nacional de Ciencia y Tecnología (CONACYT)	Cuidad de México	México
Morcos	S.	Division des Sciences de la Mer, UNESCO	Paris	France
Muralikrishna	I.V.	National Remote Sensing Agency	Balanagar	India
Neves	R. 	Instituto Superior Tecnico	Lisboa	Portugal
Nihoul	J.C.J	Mécanique des Fluides Géophysiques, Université de Liège	Liège	Belgium
Nishimura	T.	The Science University of Tokyo	Noda, Chiba	Japan
Onishi	S.	The Science University of Tokyo	Noda, Chiba	Japan
Piau	P.	Institut Français du Pétrole	Rueil-Malmaison	France
Pingree	R.D.	Marine Biological Association 	Plymouth	U.K.
Poulain	P.M.	Mécanique des Fluides Géophysiques, Université de Liège	Liège	Belgium
Ronday	F.	Mécanique des Fluides Géophysiques, Université de Liège	Liège	Belgium
Salas de León	D.	Consejo Nacional de Ciencia y Tecnología (CONACYT)	Cuidad de México	México
Salusti	S.E.	Instituto di Fisica, Universita Roma	Roma	Italy
Sencer	Y.	Mithatpasa cad	Ankara	Turkey
Smitz	J.	Mécanique des Fluides Géophysiques, Université de Liège	Liège	Belgium
Tanaka	S.	Remote Sensing Technology Center	Tokyo	Japan
Venn	J.F. 	Mathematics Departament, City of London Polytechnic	London	U.K.
Van der Rijst 	H.	Elsevier Scientific Publishing Company	Amsterdam	The Netherlands
Witting	J.M.	Naval Research Laboratory, Computacional Physics	Washington	U.S.A.
Yentsch	C.S.	Bigelow Laboratory for Ocean Sciences	East Boothbay, ME	U.S.A.
