Adam	Y.	Université de Liège	Liège	Belgium
Aranuvachapun	S.	Mekong Project, United Nations	Bangkok	Thailand
Backhaus	J.O.	Deutsches Hydrographisches Institut	Hamburg	Germany
Bah	A.	Université de Liège	Liège	Belgium
Belhomme	G.	Université de Liège	Liège	Belgium
Berger	A.	Université Catholique de Louvain	Louvain	Belgium
Bernard	E.	Institut Royal de Météorologie	Bruxelles	Belgium
Bessero	G.	Service Hydrographique et Océanographique de la Marine	Brest	France
Budgell	W.P.	Ocean and Aquatic Sciences	Burlington	Canada
Caneill	J.Y.	ENSTA, Laboratoire de Mécanique des Fluides	Paris 	France
Cavanie	A.	CNEXO/COB	Brest	France
Chabert d'Hières	G.	Intitut de Mécanique	Grenoble	France
De Greef	E.	Institut Royal de Météorologie	Bruxelles	Belgium
De Kok	J.M.?	Rijkswaterstaat	Rijswijck	The Netherlands
Delecluse	P.	Museum National d'Histoire Naturelle	Paris	France
Disteche	A.	Université de Liège	Liège	Belgium
Donelan	M.	Canada Center for Inland Waters	Burlington	Canada
Dowley	A.	University College	Dublin	Ireland
Dunn-Christensen	J.T.	Meteorologisk Institut	Copenhagen	Denmark
Elliott	A.J.	SACLANT ASW Research Center	La Spezia	Italy
Ewing	J.A.	I.O.S.	Wormley	U.K.
Fein	J.	CDRS Natural Science Foundation	Washington DC.	U.S.A.
Frankignoul	C.J.	Massachussets Institute of Technology	Cambridge	U.S.A.
Frasseto 	P.	Laboratorio per lo Studio della Dinamica delle Grandi Masse	Venezia	Italy
Fritzner	H.E.	Norsk Hydro	Oslo	Norway
Gerritsen	H.	Technische Hogeschool Twente	Twente	The Netherlands
Graf	W.H.	Ecole Polytechnique Fédérale 	Lausanne	Switzerland
Hauguel	A.	E.D.F.	Chatou	France
Heaps	N.S.	IOS Bidston Observatory	Birkenhead	U.K.
Hecq	J.H.	Université de Liège	Liège	Belgium
Henke	I.M.	Institut für Meereskunde, Universität Kiel	Kiel	Germany
Hua	B.L.	Museum National d'Histoire Naturelle, Laboratoire d'Océanographie Physique	Paris	France
Jaunet	J.P.	Bureau VERITAS	Pars	France
Jones	J.E.	University of Southampton	Southampton	U.K.
Kahma	K.	Institute of Marine Research 	Helsinky	Finland
Kitaygorodskiy	S.A.	Academy of Sciences of the U.S.S.R.	Moskow	Russia
Lejeune	A.	Université de Liège	Liège	Belgium
Loffet	A.	Université de Liège	Liège	Belgium
Mac Mahon	B.	Imperial College, Civil Engineering Department	London	U.K.
Magaard	L.	University of Hawaii	Honolulu	U.S.A.
Melson	M.B.	U.S. Navy Sciences and Technical Group Europe	Münschen	Germany
Mesquita	A.R.	University of Sao Paula	Sao Paulo	Brazil
Michaut	T.	Université de Liège	Liège	Belgium
Miller	J.	National Maritime Institute	Teddington	U.K.
Miquel	J.	E.D.F.	Chatou	France
Müller	P.	Institut für Geophysik, Universität Hamburg	Hamburg	Germany
Naatz	O.W.	Fachbereich See, Fachhochschule Hamburg	Hamburg	Germany
Nasmyth	P.W.	Institute of Ocean Sciences	Sidney	Canada
Nihoul	J.C.J.	Université de Liège	Liège	Belgium
Nizet	J.L.	Université de Liège	Liège	Belgium
O'Brien	J.J.	Florida State University	Tallahassee	U.S.A.
O'Kane	J.P.	University College	Dublin	Ireland
Ozer	J.	Université de Liège	Liège	Belgium
Pelleau	R.	ELF-AQUITAINE	Pau	France
Pichot	G.	Ministère de la Santé Publique et de l'Environement	Bruxelles	Belgique
Ramming	H.G.	Universität Hamburg	Hamburg	Germany
Reid	R.O.	Texas A&M University 	College Station	U.S.A.
Roisin	B.	Université de Liège	Liège	Belgium
Ronday	F.C.	Université de Liège	Liège	Belgium
Roovers	P.	Waterbouwkundig Laboratorium	Borgerhout	Belgium
Rosenthal	W.	Institut für Geophysik, Universität Hamburg	Hamburg	Germany
Runfola	Y.	Université de Liège	Liège	Belgium
Schäfer	P.	K.F.K.I.	Hamburg	Germany
Schayes	G.	Université Catholique de Louvain	Louvain	Belgique
Sethuraman	S.	Brookhaven National Laboratory	Upton	U.S.A.
Shonting	D.H.	Naval Underwater Systems Center	Newport	U.S.A.
Smitz	J.	Université de Liège	Liège	Belgium
Spliid	H.	Technical University of Denmark	Lyngby	Denmark
Thaker	W.C.	NOAA/AOML Sea-Air Laboratory 	Miami	U.S.A.
Thomasset	F.C.	IRIA Laboria	Le Chesnay	France
Timmermann	H.	K.N.M.I.	De Bilt 	The Netherlands
Twitchell	P.F.	Office of Naval Research 	Boston	U.S.A.
Van Hamme	J.L.	Institut Royal Métérologique	Bruxelles	Belgium
Vincent	C.L.	Engineer Waterways Experiment Station	Vicksburg	U.S.A.
Voogts	J.	Rijkwaterstaat	s'Gravenhage	The Netherlands
Wang	D.P.	Chesapeake Bay Institute, The John Hopkins University	Baltimore 	U.S.A.
Willebrand	J.	Princeton University	Princeton	U.S.A.
Worthington	B.A.	Hydraulics Research Station 	Wallingford	U.K.
