Adam	Y.	Ministère de l'Environnement	Bruxelles	Belgium
Airsam	A.	Academy of Sciences of the Stonian SSR	Tallinn	Estonia	
Bayens	W.	Vrije University Brussel	Bruxelles	Belgium
Bah	A.	Institut Polytechnique Conakry and Université de Liége	Conakry	Guinea
Clement	F.	Université de Liège	Liège	Belgium
Djenidi	S.	Université de Liège	Liège	Belgium
du Peuty	J.	CNEXO	Paris	France
Estrada	M.	Instituto de Investigaciones pesqueras	Barcelona	Spain
Flos	J.	Universidad de Barcelona	Barcelona	Spain
Frassetto	R.	Laboratorio per lo Studio della Dinamica delle Grandi Mare	Venezia	Italy
Gallardo	Y.	Centre de Recherches Océanographiques de Dakar-Thiaroye	Dakar	Sénégal
Gjerp	S.A.	Norwegian Hydrodynamic Laboratories	Trondheim 	Norway
Happel	J.J.	Université de Liège	Liège	Belgium
Henrotay	P.	Université de Liège	Liège	Belgium
Klein	P.	Institut de Mécanique Statistique de la Turbulence	Marseille	France
Lagos	P.	Instituto Geofísico del Perú	Lima	Peru 
Larsson	A.M.	University of Göteborg	Gothenburg	Sweden
Lebon	G.	Université de Liège	Liège	Belgium
Legendre	L.	Université Laval	Québec	Canada
Lewalle	A.	Université de Liège	Liège	Belgium
Loffet	A.	Université de Liège	Liège	Belgium
Maitrejean	E.	Université de Liège	Liège	Belgium
Michaux	T.	Université de Liège	Liège	Belgium
Nihoul	J.C.J.	Université de Liège and Université de Louvain	Liège	Belgium
O'Brien	J.J.	Florida State University	Tallahassee, Florida	U.S.A.
Ozer	J.	Ministère de l'Environnement	Bruxelles	Belgium
Parker	R.A.	Washington State University	Pullman, Washington	U.S.A.
Pichot	G.	Ministère de l'Environnement	Bruxelles	Belgium
Ramming	H.G.	University of Hamburg	Hamburg	Germany
Romana	L.A.	CNEXO, COB	Brest	France	
Ronday	F.	Université de Liège	Liège	Belgium
Runfola	Y.	Université de Liège	Liège	Belgium
Salomon	J.C. 	Université de Bretagne Occidentale	Brest	France
Smith	N.P.	Harbor Branch Foundation	Fort Pierce, Florida	U.S.A.
Stigebrandt	A.	University of Göteborg	Gothenburg	Sweden
Visser 	M.P.	K.N.M.I.	De Bilt	The Netherlands
Voigt	K.F.	UNESCO, IOC	Paris	France
Walsh	J.J.	Brookhaven National Laboratory	Upton, New York	U.S.A.
Williams	P.J.L.	University of Southampton	Southampton	U.K.
Yentsch	C.S.	Bigelow Laboratory for Ocean Sciences	West Boothbay Harbor, Maine	U.S.A.
