Abbot 	M.B.	Delft University	Delft	The Netherlands
Adam	Y.	Université de Liège	Liège	Belgium
Barnett	A.G.	Delft University	Delft	The Netherlands
Bay	D.	Université de Liège	Liège	Belgium
Berger	A.L.	Université Catholique de Louvain	Louvain	Belgium
Betz	M.	Université de Liège	Liège	Belgium
Brouwer	E.	The Royal Netherlands Navy	The Hague	The Netherlands
Chabert d'Hières	G.	Université de Grenoble	Grenoble	France
Chen	C.F.	Rutgers University	New Brunswick	U.S.A.
Coantic	M.	Laboratoire de Luminy	Luminy	France
Cuvelier	C.	Delft University	Delft	The Netherlands
De Haen	A.	Université de Liège	Liège	Belgium
Disteche	A.	Université de Liège	Liège	Belgium
Dorrestein		Royal Nat. Met. Inst. of De Bild	Utrecht	The Netherlands
Droissart	A.	Université de Liège	Liège	Belgium
Edwards	A.	Scottish Marine Biological Association	Oban	U.K.
Elliott	A.J.	The University of Liverpool	Liverpool	U.K.
Frankignoul	C.J.	Université de Liège	Liège	Belgium
Glansdorff	P.	Université Libre de Bruxelles	Bruxelles	Belgium
Gonela	J.	Laboratoire d'Océanographie Physique	Paris	France
Hennenberg	M.	Université Libre de Bruxelles	Bruxelles	Belgium
Henry	R.F	Marine Sciences Branch, Pacific Region	Victoria	Canada
Hopfinger	E.	Université de Grenoble	Grenoble	France
Houvenaghel	G.	Université Libre de Bruxelles	Bruxelles	Belgium
Huntley	D.A.	Bidston Observatory	Birkenhead	U.K.
Hussels	W.	Universität Kiel	Kiel	Germany
Hyacinthe	J.L.	Centre Océanologique de Bretagne	Brest	France
Ichiye	T.	Texas A. and M. University	College Station	U.S.A.
Jager	Ph.	Université de Louvain	Louvain	Belgium
Jamart	B.	Université de Liège	Liège	Belgium
Kozanecki	W.	Université de Liège	Liège	Belgium
Kullenberg	G.	University of Copenhagen	Copenhagen	Denmark
Lambermont	J.	Technische Hogeschool te Delft	Delft	The Netherlands
Lebon	G.	Université de Liège	Liège	Belgium
Lejeune	A.H.	Université de Liège	Liège	Belgium
Maftei	A.	Université de Liège	Liège	Belgium
Malkus	W.V.R.	Massachusetts Institute of Technology	Cambridge	U.S.A.
Marshall	G.	Delft University of Technology	Delft	The Netherlands
Molcard	R.	Saclant ASW Research Center	La Spezia	Italy
Mysak	L.A.	University of British Colombia	Vancouver	Canada
Nasmyth	P.W.	Marine Sciences Branch	Victoria	Canada
Nguyen	H.	Université de Liège	Liège	Belgium
Nihoul	J.C.J.	Université de Liège	Liège	Belgium
Pichot	G.	Université de Liège	Liège	Belgium
Pollentier	A.	Université de Liège	Liège	Belgium
Portnow	J.	Université Libre de Bruxelles	Bruxelles	Belgium
Runfola	Y.	Université de Liège	Liège	Belgium
Sandstrom	H.	Bedford Institute	Dartmouth	Canada
Sanfeld	A.	Université Libre de Bruxelles	Bruxelles	Belgium
Schayes	G.	Université Catholique de Louvain	Louvain	Belgium
Schott	F.	Universität Kiel	Kiel	Germany
Skafel	M.G.	University of Cambridge	Cambridge	U.K.
Smitz	J.	Université de Liège	Liège	Belgium
Steinchen	A.	Université Libre de Bruxelles	Bruxelles	Belgium
Stravisi	F.	Universita di Trieste	Trieste	Italy
Suberville	J.L.	Université de Grenoble	Grenoble	France
Suylen	J.M.	Rijkwaterstaat, Den Haag	The Hague	The Netherlands
Tait	R.I.	University of Liverpool	Liverpool	U.K.
Thomson	R.E.	Marine Science Branch	Victoria	Canada
Turner	J.S.	University of Cambridge	Cambridge	U.K.
Van Hamme	J.L.	Institut Royal Météorologique	Bruxelles	Belgium
Welander	P.L.	Göteborg Universität	Göteborg	Sweden
Westerberg	H.	Göteborg Universität	Göteborg	Sweden
Wibin	P.E.	Ministère de la Programmation Scientifique	Bruxelles	Belgium
Wiser	M.	Université de Liège	Liège	Belgium
Zenk	W.	Universität Kiel	Kiel	Germany
